index,Consumption,Solar,Wind,hour,day,month,weekday,lag_1,lag_24,lag_48,lag_72,Predicted_Consumption,Total_Generation,Energy_Difference,Battery_Level,Grid_Usage
2020-10-25 09:00:00,28.293913333000003,2.7875,123.91,9,25,10,6,25.040128889,25.172817778,21.965744444,24.146364444,23.879318062095443,126.69749999999999,102.81818193790454,100.0,0.0
2020-10-25 10:00:00,20.314048889,1.9405833,118.49,10,25,10,6,28.293913333000003,20.227306667,19.032417778,19.57116,25.361357454998494,120.4305833,95.0692258450015,100.0,0.0
2020-10-25 11:00:00,20.399991111,7.070333400000001,86.8,11,25,10,6,20.314048889,22.241228889,18.627035556,23.71142,19.696415945061062,93.87033339999999,74.17391745493893,100.0,0.0
2020-10-25 12:00:00,20.176675556,2.9099167,89.81,12,25,10,6,20.399991111,26.658222222,22.612848889,28.298362222,21.881011258588227,92.7199167,70.83890544141177,100.0,0.0
2020-10-25 13:00:00,19.678022222,1.50575,27.55,13,25,10,6,20.176675556,27.173502222,21.47468,23.570984444,21.399745295780697,29.05575,7.656004704219303,100.0,0.0
2020-10-25 14:00:00,21.19708,0.0869166,0.0,14,25,10,6,19.678022222,25.877455556,24.498708889,27.47886,21.330284313251738,0.0869166,-21.24336771325174,78.75663228674826,0.0
2020-10-25 15:00:00,23.240522222,0.0,0.0,15,25,10,6,21.19708,23.58334,21.232455556,25.575557778,20.717780393410578,0.0,-20.717780393410578,58.03885189333768,0.0
2020-10-25 16:00:00,26.581293333,0.0,0.0,16,25,10,6,23.240522222,22.159622222,19.926782222,22.635013333000003,22.736717805825986,0.0,-22.736717805825986,35.30213408751169,0.0
2020-10-25 17:00:00,21.778826667,0.0,0.0,17,25,10,6,26.581293333,24.798297778,21.522413333000003,24.049737778,29.257528288027217,0.0,-29.257528288027217,6.044605799484472,0.0
2020-10-25 18:00:00,22.63696,0.0,0.0,18,25,10,6,21.778826667,30.817582222,31.03286,27.007888889,31.128416295751283,0.0,-31.128416295751283,0.0,25.08381049626681
2020-10-25 19:00:00,22.444431111,0.0,0.0,19,25,10,6,22.63696,26.371866667,28.307862222,25.854195556,24.728240365941875,0.0,-24.728240365941875,0.0,24.728240365941875
2020-10-25 20:00:00,27.40062,0.0,0.0,20,25,10,6,22.444431111,24.290977778,25.561228889,26.933817778,21.58630173109718,0.0,-21.58630173109718,0.0,21.58630173109718
2020-10-25 21:00:00,21.756808889,0.0,0.0,21,25,10,6,27.40062,23.354651111,26.286453333,22.583137778,22.37927594879819,0.0,-22.37927594879819,0.0,22.37927594879819
2020-10-25 22:00:00,21.230915556,0.0,0.0,22,25,10,6,21.756808889,19.463415556,27.54456,19.275417778,18.94538144148839,0.0,-18.94538144148839,0.0,18.94538144148839
2020-10-25 23:00:00,17.243588889,0.0,5.02,23,25,10,6,21.230915556,17.713913333,23.696355556,18.773273333,18.725096307968325,5.02,-13.705096307968326,0.0,13.705096307968326
2020-10-26 00:00:00,16.551755556,0.0,0.0,0,26,10,0,17.243588889,18.857146667,21.725653333,19.993902222,17.867165746531047,0.0,-17.867165746531047,0.0,17.867165746531047
2020-10-26 01:00:00,19.702171111,0.0,0.0,1,26,10,0,16.551755556,18.907073333,20.672837778,19.950575556,17.416665401904623,0.0,-17.416665401904623,0.0,17.416665401904623
2020-10-26 02:00:00,19.642831111,0.0,2.79,2,26,10,0,19.702171111,22.224006667,22.023182222,25.149137778000004,19.85644144047607,2.79,-17.06644144047607,0.0,17.06644144047607
2020-10-26 03:00:00,18.463808889000003,0.0,13.21,3,26,10,0,19.642831111,19.556937778,18.773068889,18.474293333,17.805072196265765,13.21,-4.595072196265765,0.0,4.595072196265765
